CustomerAccountNumber,PostCode,County,DocumentNo,Year,DocumentDate,ItemCode,StockUnitLineQuantity,Code,LineTotalValue,Source,TotalNetValue
AMAZON,EH4 6QT,edinburgh,52863,2019,11/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,NP114QW,Gwent,52861,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,AB53 4BQ,Aberdeenshire,52860,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,LS16 6BR,LEEDS,52859,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,WN6 9DQ,Lancs,52856,2019,11/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,NW11 6TG,LONDON,52855,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,BL8 4BQ,Lancs,52853,2019,11/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,WV15 6HW,Shropshire,52852,2019,11/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,TS8 9QB,CLEVELAND,52851,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,WV15 6HW,Shropshire,52850,2019,11/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,HP124EG,High Wycombe,52849,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
ESS021,W1U 3PT,London,52846,2019,11/11/2019,CR H3-94020,12,CR,43.58,Email,49.58
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC A3-52002,24,GC,35.64,Email,306.36
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC A3-69005,24,GC,48.24,Email,306.36
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC A3-15023,24,GC,22.86,Email,306.36
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC C1-AN003,12,GC,33.66,Email,306.36
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC A3-03051,24,GC,62.28,Email,306.36
ELE009,SW1E 5DJ,London,52844,2019,11/11/2019,GC D9-10001,24,GC,103.68,Email,306.36
DIR001,Bt20 4su,Bangor,52842,2019,11/11/2019,GC A3-07010,48,GC,92.16,Web,98.16
DIR001,GU31 5DJ,West Sussex,52841,2019,11/11/2019,CT A8-21CS,1,CT,10.82,Web,45.26
DIR001,GU31 5DJ,West Sussex,52841,2019,11/11/2019,CT A8-21TE,12,CT,28.44,Web,45.26
FLI005,EC2A 2AH,London,52840,2019,11/11/2019,GC B1-01001,12,GC,72.36,Email,78.36
YAN001,PO1 3DT,Portsmouth,52837,2019,08/11/2019,CT B6-06TF,108,CT,118.8,Phone,415.8
YAN001,PO1 3DT,Portsmouth,52837,2019,08/11/2019,CT B6-06DS,108,CT,95.04,Phone,415.8
YAN001,PO1 3DT,Portsmouth,52837,2019,08/11/2019,CT B6-06TKS,108,CT,142.56,Phone,415.8
YAN001,PO1 3DT,Portsmouth,52837,2019,08/11/2019,CT B6-06TE,108,CT,59.4,Phone,415.8
PIN028,NW5 2JS,London,52836,2019,08/11/2019,TA H6-03014,121,TA,16.94,Web,114.12
PIN028,NW5 2JS,London,52836,2019,08/11/2019,TA H6-01045,50,TA,35.5,Web,114.12
PIN028,NW5 2JS,London,52836,2019,08/11/2019,GC C1-80002,24,GC,55.68,Web,114.12
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11005,3,KW,95.99,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01016,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11003,1,KW,32,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01015,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01014,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11004,2,KW,63.99,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01018,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01017,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11002,2,KW,63.99,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11006,2,KW,63.99,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW C8-01013,2,KW,21.38,Email,512.23
CAS084,W11 4JG,London,52835,2019,08/11/2019,KW A7-11001,2,KW,63.99,Email,512.23
DAB002,W1S 2PA,London,52834,2019,08/11/2019,CR A9-31009,24,CR,158.58,Phone,421.47
DAB002,W1S 2PA,London,52834,2019,08/11/2019,CR H3-AM057,12,CR,90.81,Phone,421.47
DAB002,W1S 2PA,London,52834,2019,08/11/2019,CR H3-AM046,24,CR,120.6,Phone,421.47
DAB002,W1S 2PA,London,52834,2019,08/11/2019,CR H3-74010,24,CR,51.48,Phone,421.47
AMAZON,BH14 8TJ,Dorset,52832,2019,08/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
OFF039,E14 5AB,London,52831,2019,08/11/2019,BF A3-04005,18,BF,68.83,Email,74.83
DEV026,EC2M 4YD,London,52829,2019,08/11/2019,KW G2-94001,10,KW,19.28,Email,25.28
AMAZON,KT3 5NX,Surrey,52827,2019,08/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,SS6 8FE,Essex,52826,2019,08/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,SK15 3AB,Cheshire,52825,2019,08/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,BS45EQ,Bristol,52824,2019,08/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,SY8 4HG,ORLETON,52823,2019,08/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,DN11 9UX,South Yorks,52822,2019,08/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
JEF001,EC2N 4JL,London,52820,2019,08/11/2019,CR H3-69005,504,CR,1559.38,Email,1871.69
JEF001,EC2N 4JL,London,52820,2019,08/11/2019,GC A3-12014,312,GC,312.31,Email,1871.69
DIR001,TN1 1EE,Kent,52819,2019,07/11/2019,CR B2-03029,12,CR,44.76,Web,84.36
DIR001,TN1 1EE,Kent,52819,2019,07/11/2019,CR B2-03030,12,CR,33.6,Web,84.36
FLI003,M2 4WU,Manchester,52817,2019,07/11/2019,CR H3-81021,12,CR,48.87,Email,218.79
FLI003,M2 4WU,Manchester,52817,2019,07/11/2019,CR H3-81004,12,CR,48.87,Email,218.79
FLI003,M2 4WU,Manchester,52817,2019,07/11/2019,KW C8-07085,4,KW,48.42,Email,218.79
FLI003,M2 4WU,Manchester,52817,2019,07/11/2019,KW C8-07085,6,KW,72.63,Email,218.79
GRE136,WC1N 1DE,London,52816,2019,07/11/2019,TT B4-05005,1,TT,124.84,Email,134.84
DIR001,ox15 4jb,Oxfordshire,52813,2019,07/11/2019,CR A9-32002,6,CR,17.22,Web,39.24
DIR001,ox15 4jb,Oxfordshire,52813,2019,07/11/2019,CR A9-29002,6,CR,16.02,Web,39.24
26G001,SE1 9AA,London,52812,2019,07/11/2019,GC C1-BV003,48,GC,65.16,Email,133.8
26G001,SE1 9AA,London,52812,2019,07/11/2019,GC D5-21006,12,GC,39.62,Email,133.8
26G001,SE1 9AA,London,52812,2019,07/11/2019,BW E5-06003,3,BW,23.02,Email,133.8
AMAZON,KY12 9XS,Fife,52810,2019,07/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
INT001,W1J 7QY,London,52809,2019,07/11/2019,BF J1-01010,25,BF,646.31,Email,646.31
DIR001,HD9 1US,West yorkshire,52808,2019,07/11/2019,BW Z9-01006,24,BW,65.04,Web,195.12
DIR001,HD9 1US,West yorkshire,52808,2019,07/11/2019,BW Z9-01002,24,BW,65.04,Web,195.12
DIR001,HD9 1US,West yorkshire,52808,2019,07/11/2019,BW Z9-01009,24,BW,65.04,Web,195.12
AMAZON,KT14 7QH,Surrey,52805,2019,07/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,NN2 6JX,NORTHAMPTON,52804,2019,07/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,NG32 1AL,Lincs,52803,2019,07/11/2019,GC A3-34019,6,GC,24.67,Web,24.67
AMAZON,KT20 5EU,Surrey,52802,2019,07/11/2019,GC A3-34019,6,GC,24.67,Web,24.67
AMAZON,cm6 2ft,Essex,52801,2019,07/11/2019,GC A3-34019,6,GC,24.67,Web,24.67
AMAZON,CB22 7RJ,CAMBRIDGE,52800,2019,07/11/2019,GC A3-34019,6,GC,24.67,Web,24.67
AMAZON,CT7 9QB,Birchington,52799,2019,07/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
